lambda_penalty,omega_n,zeta,n_rollouts,discounted_task_return_mean,discounted_task_return_std,discounted_train_return_mean,discounted_train_return_std,discounted_theta_variation_mean,discounted_theta_variation_std,theta_variation_sum_mean,theta_variation_sum_std,success_rate,final_distance_mean,final_distance_std,mean_abs_theta_tracking_error_mean,mean_abs_theta_tracking_error_std,mean_motor_pair_clip_abs_sum_mean,mean_motor_pair_clip_abs_sum_std,model_dir
8.0,4.0,1.0,333,294.3796372601976,60.743220181941794,284.5500843431816,60.60705708797881,1.2286941146270083,0.0404806631141039,5.576814395221203,0.16464422946711627,1.0,0.13313268305925713,0.04664687567510912,0.11801725510931635,0.003278299807178596,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_8_lambda_sweep_lam_8p0_20260523_005533
8.0,6.0,1.0,333,345.82363299238637,60.34670038076441,336.31966208540297,60.25695466225816,1.1879963633729254,0.035478925923466686,5.701472642883223,0.12377122006895087,1.0,0.1001171211371545,0.02436776059412692,0.09390604786215176,0.002377135609435528,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_8_lambda_sweep_lam_8p0_20260523_005533
8.0,8.0,1.0,333,372.00098288213223,56.705128840563354,362.7991658256076,56.63401635261215,1.1502271320655808,0.03480036292573058,5.650390419518916,0.16150706387026592,1.0,0.05490590266014646,0.00986348433745989,0.07613957216491173,0.002509803092924928,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_8_lambda_sweep_lam_8p0_20260523_005533
8.0,10.0,1.0,333,389.6407895120524,52.35057017550524,380.769138631245,52.312125836523634,1.1089563601009116,0.0330739103226844,5.405303488797136,0.11023538001704256,1.0,0.057059874726290156,0.013707586750685813,0.06209104297517663,0.0017846383188322868,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_8_lambda_sweep_lam_8p0_20260523_005533
8.0,12.0,1.0,333,401.4201975238681,48.786915429231556,392.8882791890116,48.77289573045309,1.0664897918570733,0.0325241865472344,5.078648759983655,0.08961965064263104,1.0,0.03935295721827325,0.007545092697078721,0.050276504680701814,0.0011819508223397787,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_8_lambda_sweep_lam_8p0_20260523_005533
10.0,4.0,1.0,333,197.30795304763635,28.501071482304443,181.26259992556166,28.058453733804523,1.6045353122074677,0.05791490012249406,6.712118172810569,0.13263172459330094,1.0,0.1121788821444472,0.04819448978549361,0.14259094760053656,0.002856115669707571,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_10_lambda_sweep_lam_10p0_20260523_011011
10.0,6.0,1.0,333,319.5726767956315,28.075960347980345,306.2063571143215,28.01944330361268,1.3366319681310015,0.05863376394211001,6.158132172683631,0.17009739205257354,1.0,0.0606185443582177,0.03398560446169282,0.10096371610800917,0.0030542679020335558,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_10_lambda_sweep_lam_10p0_20260523_011011
10.0,8.0,1.0,333,310.3982904922645,21.10889030849207,298.7763202753296,21.285723132035727,1.162197021693488,0.07250427656478255,5.3495208509796885,0.21239883946297444,1.0,0.05243945446660918,0.02330860979037549,0.0710911958922652,0.0028421294617054114,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_10_lambda_sweep_lam_10p0_20260523_011011
10.0,10.0,1.0,333,311.17316576041094,19.954200616350185,300.3992842505963,20.16784078559694,1.0773881509814636,0.0761653363229615,4.758125292911007,0.2205441513539038,1.0,0.04195663823843742,0.022588482300226295,0.05279702913743495,0.0023159096581815784,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_10_lambda_sweep_lam_10p0_20260523_011011
10.0,12.0,1.0,333,312.2435393031622,19.48961445907215,302.2270710904583,19.716453435545414,1.0016468212703882,0.07490629108578707,4.053624128203964,0.2252523788513317,1.0,0.027543361119286288,0.014718012624908775,0.038259638700205295,0.002020476806965125,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_10_lambda_sweep_lam_10p0_20260523_011011
